month,shop_id,item_id,item_cnt_month
2013-01,0,30,0.0
2013-02,0,30,31.0
2013-03,0,30,0.0
2013-04,0,30,0.0
2013-05,0,30,0.0
2013-06,0,30,0.0
2013-07,0,30,0.0
2013-08,0,30,0.0
2013-09,0,30,0.0
2013-10,0,30,0.0
2013-11,0,30,0.0
2013-12,0,30,0.0
2013-01,0,31,0.0
2013-02,0,31,11.0
2013-03,0,31,0.0
2013-04,0,31,0.0
2013-05,0,31,0.0
2013-06,0,31,0.0
2013-07,0,31,0.0
2013-08,0,31,0.0
2013-09,0,31,0.0
2013-10,0,31,0.0
2013-11,0,31,0.0
2013-12,0,31,0.0
2013-01,0,32,4.0
2013-02,0,32,6.0
2013-03,0,32,2.0
2013-04,0,32,0.0
2013-05,0,32,1.0
2013-06,0,32,1.0
2013-07,0,32,0.0
2013-08,0,32,0.0
2013-09,0,32,0.0
2013-10,0,32,0.0
2013-11,0,32,0.0
2013-12,0,32,2.0
2013-01,0,33,2.0
2013-02,0,33,2.0
2013-03,0,33,1.0
2013-04,0,33,0.0
2013-05,0,33,0.0
2013-06,0,33,0.0
2013-07,0,33,1.0
2013-08,0,33,0.0
2013-09,0,33,0.0
2013-10,0,33,0.0
2013-11,0,33,0.0
2013-12,0,33,0.0
2013-01,0,35,2.0
2013-02,0,35,6.0
2013-03,0,35,0.0
2013-04,0,35,1.0
2013-05,0,35,0.0
2013-06,0,35,2.0
2013-07,0,35,0.0
2013-08,0,35,2.0
2013-09,0,35,1.0
2013-10,0,35,1.0
2013-11,0,35,0.0
2013-12,0,35,0.0
2013-01,0,36,0.0
2013-02,0,36,1.0
2013-03,0,36,0.0
2013-04,0,36,0.0
2013-05,0,36,0.0
2013-06,0,36,0.0
2013-07,0,36,0.0
2013-08,0,36,0.0
2013-09,0,36,0.0
2013-10,0,36,0.0
2013-11,0,36,0.0
2013-12,0,36,0.0
2013-01,0,40,0.0
2013-02,0,40,0.0
2013-03,0,40,0.0
2013-04,0,40,0.0
